No.,Title,Original Price,Special Price
1.,EA SPORTS™《FIFA 23》Nintendo Switch™ Legacy Edition,"₩47,000","₩23,500"
2.,Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션),"₩36,100","₩18,050"
3.,Lacuna,"₩22,000","₩2,200"
4.,데드 셀 (Dead Cells),"₩29,800","₩14,900"
5.,MONSTER HUNTER RISE + SUNBREAK 세트,"₩76,400","₩48,400"
6.,아메리칸 퓨지티브,"₩20,500","₩2,050"
7.,트라인 4: 악몽의 왕자,"₩35,000","₩7,000"
8.,ENDER LILIES: Quietus of the Knights,"₩27,980","₩15,380"
9.,돌연변이 닌자 거북이: 슈레더의 복수 (Teenage Mutant Ninja Turtles: Shredder's Revenge),"₩29,800","₩23,840"
10.,베어 너클 4,"₩29,800","₩14,900"
11.,Football Manager 2023 Touch,"₩43,000","₩28,810"
12.,MONSTER HUNTER RISE: SUNBREAK,"₩48,400","₩36,300"
13.,루프란의 지하미궁과 마녀의 여단,"₩59,800","₩29,900"
14.,열혈경파 쿠니오군 외전 리버시티 걸즈,"₩35,000","₩17,500"
15.,파: 론 세일즈,"₩14,900","₩2,980"
16.,쿠니오 군: 더 월드 클래식 컬렉션,"₩39,800","₩9,950"
17.,MONSTER HUNTER RISE,"₩48,400","₩24,200"
18.,Mega Man 11,"₩34,500","₩11,730"
19.,BIOHAZARD REVELATIONS 2,"₩23,800","₩9,500"
20.,CRISIS CORE –FINAL FANTASY VII– REUNION,"₩62,000","₩49,600"
21.,더 라스트 스펠 (The Last Spell),"₩31,500","₩28,350"
22.,프로젝트 하이라이즈: 아키텍트 에디션,"₩42,000","₩8,400"
23.,Capcom Belt Action Collection,"₩34,800","₩17,400"
24.,테니스 월드 투어 2,"₩45,000","₩9,000"
25.,포 더 킹,"₩24,900","₩7,470"
26.,Sherlock Purr,"₩25,000","₩2,500"
27.,엘디스트 소울,"₩22,000","₩8,800"
28.,다키스트 던전,"₩27,000","₩9,180"
29.,Ghosts 'n Goblins Resurrection,"₩35,800","₩17,900"
30.,기어.클럽 언리미티드 2 (Gear.Club Unlimited 2),"₩35,000","₩5,250"
31.,Street Fighter 30th Anniversary Collection,"₩36,400","₩14,560"
32.,World War Z,"₩45,000","₩22,500"
33.,몬스터헌터 스토리즈 2 파멸의 날개,"₩50,900","₩24,200"
34.,마계전기 디스가이아5,"₩59,800","₩29,900"
35.,PowerWash Simulator,"₩29,800","₩23,840"
36.,노스가드 (Northgard),"₩39,800","₩9,950"
37.,다함께 쿠키요미,"₩5,250","₩2,620"
38.,Mega Man Legacy Collection,"₩17,900","₩5,370"
39.,Urban Flow,"₩19,900","₩1,000"
40.,biohazard 4,"₩23,800","₩11,900"
41.,MONSTER HUNTER XX™ Nintendo Switch Ver.,"₩48,800","₩14,640"
42.,던그리드,"₩16,900","₩13,520"
43.,요마와리+신요마와리 for Nintendo Switch,"₩59,800","₩29,900"
44.,Mega Man Legacy Collection 2,"₩24,800","₩7,440"
45.,Coffee Talk Episode 2: Hibiscus & Butterfly,"₩18,600","₩16,740"
46.,Encodya,"₩31,000","₩3,100"
47.,에보랜드: 레전더리 에디션 (Evoland: Legendary Edition),"₩25,000","₩6,250"
48.,GROOVE COASTER WAI WAI PARTY!!!!,"₩66,000","₩39,600"
49.,헌팅 시뮬레이터 2,"₩49,800","₩14,940"
50.,오메가 라비린스 라이프,"₩64,800","₩23,970"
51.,도라에몽 진구의 목장 이야기,"₩59,800","₩26,800"
52.,마계전기 디스가이아Refine,"₩59,800","₩29,900"
53.,A Space for the Unbound,"₩28,840","₩23,070"
54.,Finding Paradise,"₩12,500","₩10,000"
55.,인페르낙스 (Infernax),"₩25,000","₩18,750"
56.,BIOHAZARD 6,"₩23,800","₩11,900"
57.,BIOHAZARD 5,"₩23,800","₩11,900"
58.,탁구,"₩10,000","₩2,000"
59.,알렉스 키드 인 미라클 월드 DX (Alex Kidd in Miracle World DX),"₩25,000","₩8,750"
60.,다함께 쿠키요미3 -아버지가 아들에게-,"₩5,250","₩2,620"
61.,다함께 쿠키요미2 ～레이와～,"₩5,250","₩2,620"
62.,모비드: 일곱 명의 사도,"₩26,000","₩5,200"
63.,Creaks (크릭스),"₩21,900","₩5,470"
64.,PARANORMASIGHT: The Seven Mysteries of Honjo,"₩24,800","₩19,840"
65.,아라가미 2 (Aragami 2),"₩45,000","₩27,000"
66.,MONSTER HUNTER RISE + SUNBREAK 더블 디럭스 세트,"₩89,100","₩60,600"
67.,WRC 10 FIA 월드 랠리 챔피언십,"₩49,800","₩14,940"
68.,Graveyard Keeper,"₩22,300","₩7,800"
69.,Arcaea,"₩44,000","₩39,600"
70.,트로피코 6 - 닌텐도 스위치 에디션,"₩49,800","₩24,900"
71.,Deadly Days,"₩22,000","₩2,200"
72.,Mega Man Zero/ZX Legacy Collection,"₩37,800","₩18,900"
73.,다운타운 난투행진곡 Mach!!,"₩19,800","₩6,730"
74.,포탈 나이츠,"₩35,000","₩10,500"
75.,ULTRA STREET FIGHTER® II The Final Challengers,"₩54,800","₩21,920"
76.,Railbound: 레일바운드,"₩18,490","₩13,860"
77.,HARVESTELLA,"₩69,800","₩48,860"
78.,소녀와 우주 이야기 Milkmaid of the Milky Way,"₩5,900","₩2,950"
79.,무인도 스토리 DX(Beastie Bay DX),"₩15,000","₩7,500"
80.,러슬러 (Rustler),"₩35,000","₩5,250"
81.,Klondike Solitaire - 클론다이크 솔리테어,"₩10,200","₩1,000"
82.,건물도 감정이 있어요! (Buildings Have Feelings Too!),"₩20,500","₩5,120"
83.,AKIBA'S TRIP: Hellbound & Debriefed,"₩48,700","₩24,350"
84.,Figment,"₩19,990","₩1,990"
85.,락 오브 에이지 3,"₩35,000","₩5,250"
86.,오버패스,"₩41,000","₩8,200"
87.,에어 컨플릭트: 퍼시픽 캐리어,"₩19,800","₩2,970"
88.,블레이블루 센트럴픽션 스페셜 에디션 (BlazBlue Centralfiction Special Edition),"₩48,000","₩14,400"
89.,핸드 오브 페이트 2,"₩33,000","₩8,250"
90.,올드 스쿨 뮤지컬,"₩12,900","₩4,510"
91.,"Sniper Strike 3D -  Secret elite mission warfare ""GHOST SQUAD""","₩6,170","₩1,850"
92.,다함께 쿠키요미 온라인,"₩9,440","₩7,550"
93.,Pilgrims,"₩7,000","₩4,200"
94.,프롬 스페이스 (From Space),"₩18,700","₩14,960"
95.,Life is Strange Arcadia Bay Collection,"₩44,800","₩33,600"
96.,Secret Neighbor,"₩22,990","₩8,040"
97.,Freecell Solitaire Deluxe 프리셀 솔리테르 디럭스,"₩12,000","₩1,000"
98.,S.N.I.P.E.R. - Hunter Scope,"₩16,700","₩1,000"
99.,TT 아일 오브 맨,"₩43,000","₩4,300"
100.,빅터 브란 오버킬 에디션 (Victor Vran Overkill Edition),"₩45,000","₩15,750"
